sep=,
time,epoch,test_loss,train_loss
2019-08-29 10:05:35,0,0.242485,0.237634
2019-08-29 10:05:42,10,0.230463,0.233017
2019-08-29 10:05:50,20,0.228207,0.237907
2019-08-29 10:05:58,30,0.233879,0.216804
2019-08-29 10:06:05,40,0.232778,0.224606
2019-08-29 10:06:13,50,0.220943,0.226123
2019-08-29 10:06:21,60,0.222385,0.222037
2019-08-29 10:06:28,70,0.227084,0.223142
2019-08-29 10:06:36,80,0.211783,0.221386
2019-08-29 10:06:44,90,0.220409,0.216546
2019-08-29 10:06:51,100,0.210422,0.201192
2019-08-29 10:06:59,110,0.22615,0.206994
2019-08-29 10:07:07,120,0.188573,0.215045
2019-08-29 10:07:15,130,0.196229,0.203459
2019-08-29 10:07:22,140,0.19941,0.175942
2019-08-29 10:07:30,150,0.187808,0.212612
2019-08-29 10:07:38,160,0.206723,0.171743
2019-08-29 10:07:45,170,0.183437,0.169858
2019-08-29 10:07:53,180,0.167417,0.198309
2019-08-29 10:08:01,190,0.203513,0.16328
2019-08-29 10:08:08,200,0.201639,0.178373
2019-08-29 10:08:16,210,0.194053,0.225369
2019-08-29 10:08:24,220,0.210502,0.237819
2019-08-29 10:08:31,230,0.13416,0.209528
2019-08-29 10:08:39,240,0.186745,0.208287
2019-08-29 10:08:47,250,0.226267,0.175036
2019-08-29 10:08:55,260,0.180117,0.169072
2019-08-29 10:09:02,270,0.20059,0.161481
2019-08-29 10:09:10,280,0.150362,0.218886
2019-08-29 10:09:18,290,0.181594,0.18478
2019-08-29 10:09:25,300,0.152895,0.214633
2019-08-29 10:09:33,310,0.196266,0.144638
2019-08-29 10:09:41,320,0.214823,0.160821
2019-08-29 10:09:49,330,0.149536,0.199535
2019-08-29 10:09:57,340,0.179552,0.175127
2019-08-29 10:10:04,350,0.154322,0.230012
2019-08-29 10:10:12,360,0.173952,0.213642
2019-08-29 10:10:20,370,0.23148,0.149124
2019-08-29 10:10:27,380,0.189157,0.17193
2019-08-29 10:10:35,390,0.196868,0.160508
2019-08-29 10:10:43,400,0.220313,0.207474
2019-08-29 10:10:50,410,0.205838,0.189464
2019-08-29 10:10:58,420,0.184936,0.185437
2019-08-29 10:11:06,430,0.170057,0.163469
2019-08-29 10:11:14,440,0.191353,0.170321
2019-08-29 10:11:21,450,0.195169,0.149609
2019-08-29 10:11:29,460,0.192558,0.147104
2019-08-29 10:11:37,470,0.206114,0.129204
2019-08-29 10:11:44,480,0.199387,0.20489
2019-08-29 10:11:52,490,0.164347,0.20502
2019-08-29 10:12:00,500,0.198213,0.160372
2019-08-29 10:12:07,510,0.201824,0.190322
2019-08-29 10:12:15,520,0.149676,0.218199
2019-08-29 10:12:23,530,0.192099,0.172755
2019-08-29 10:12:30,540,0.187845,0.196724
2019-08-29 10:12:38,550,0.138278,0.161539
2019-08-29 10:12:46,560,0.147383,0.196111
2019-08-29 10:12:54,570,0.196952,0.166193
2019-08-29 10:13:01,580,0.254276,0.193583
2019-08-29 10:13:09,590,0.150809,0.18993
2019-08-29 10:13:17,600,0.201086,0.186214
2019-08-29 10:13:24,610,0.210469,0.176732
2019-08-29 10:13:32,620,0.169132,0.174178
2019-08-29 10:13:40,630,0.14934,0.172231
2019-08-29 10:13:47,640,0.152537,0.163587
2019-08-29 10:13:55,650,0.202101,0.179311
2019-08-29 10:14:03,660,0.228228,0.172992
2019-08-29 10:14:10,670,0.204995,0.162698
2019-08-29 10:14:18,680,0.159117,0.162345
2019-08-29 10:14:26,690,0.207028,0.18317
2019-08-29 10:14:34,700,0.205816,0.177962
2019-08-29 10:14:41,710,0.189532,0.221802
2019-08-29 10:14:49,720,0.161493,0.201803
2019-08-29 10:14:57,730,0.191623,0.205936
2019-08-29 10:15:04,740,0.165788,0.164485
2019-08-29 10:15:12,750,0.223059,0.140542
2019-08-29 10:15:20,760,0.19543,0.279854
2019-08-29 10:15:27,770,0.234881,0.193087
2019-08-29 10:15:35,780,0.198859,0.145274
2019-08-29 10:15:43,790,0.174835,0.135223
2019-08-29 10:15:50,800,0.170502,0.197175
2019-08-29 10:15:58,810,0.17633,0.216717
2019-08-29 10:16:06,820,0.205649,0.20567
2019-08-29 10:16:14,830,0.166353,0.213375
2019-08-29 10:16:21,840,0.16517,0.168638
2019-08-29 10:16:29,850,0.240177,0.163639
2019-08-29 10:16:37,860,0.177108,0.203749
2019-08-29 10:16:44,870,0.180425,0.159857
2019-08-29 10:16:52,880,0.191339,0.142635
2019-08-29 10:17:00,890,0.167161,0.181438
2019-08-29 10:17:07,900,0.168185,0.164854
2019-08-29 10:17:15,910,0.18762,0.133127
2019-08-29 10:17:23,920,0.182445,0.197917
2019-08-29 10:17:31,930,0.1779,0.167416
2019-08-29 10:17:38,940,0.179477,0.211104
2019-08-29 10:17:46,950,0.178998,0.199699
2019-08-29 10:17:54,960,0.189446,0.167632
2019-08-29 10:18:01,970,0.172707,0.181955
2019-08-29 10:18:09,980,0.169694,0.1509
2019-08-29 10:18:17,990,0.205596,0.181275
2019-08-29 10:18:24,1000,0.176018,0.158218
2019-08-29 10:18:32,1010,0.202506,0.171184
2019-08-29 10:18:40,1020,0.214351,0.182237
2019-08-29 10:18:47,1030,0.158338,0.152062
2019-08-29 10:18:55,1040,0.191954,0.155826
2019-08-29 10:19:03,1050,0.149409,0.173057
2019-08-29 10:19:10,1060,0.148173,0.229641
2019-08-29 10:19:18,1070,0.187607,0.195677
2019-08-29 10:19:26,1080,0.198578,0.175886
2019-08-29 10:19:33,1090,0.148034,0.190799
2019-08-29 10:19:41,1100,0.204808,0.212912
2019-08-29 10:19:49,1110,0.215556,0.152333
2019-08-29 10:19:57,1120,0.168458,0.206302
2019-08-29 10:20:04,1130,0.190109,0.236133
2019-08-29 10:20:12,1140,0.191729,0.16709
2019-08-29 10:20:20,1150,0.182383,0.162154
2019-08-29 10:20:27,1160,0.184967,0.178601
2019-08-29 10:20:35,1170,0.166995,0.19895
2019-08-29 10:20:43,1180,0.124343,0.207164
2019-08-29 10:20:50,1190,0.179839,0.163092
2019-08-29 10:20:58,1200,0.171297,0.169922
2019-08-29 10:21:06,1210,0.139182,0.16908
2019-08-29 10:21:13,1220,0.179468,0.192808
2019-08-29 10:21:21,1230,0.14748,0.145657
2019-08-29 10:21:29,1240,0.183249,0.199014
2019-08-29 10:21:36,1250,0.170621,0.155655
2019-08-29 10:21:44,1260,0.200968,0.178923
2019-08-29 10:21:52,1270,0.18446,0.159962
2019-08-29 10:21:59,1280,0.177871,0.206013
2019-08-29 10:22:07,1290,0.186546,0.201473
2019-08-29 10:22:15,1300,0.186385,0.190925
2019-08-29 10:22:22,1310,0.192669,0.151187
2019-08-29 10:22:30,1320,0.184747,0.182879
2019-08-29 10:22:38,1330,0.18968,0.153582
2019-08-29 10:22:45,1340,0.196563,0.192946
2019-08-29 10:22:53,1350,0.187665,0.180895
2019-08-29 10:23:01,1360,0.129137,0.228081
2019-08-29 10:23:08,1370,0.189125,0.208067
2019-08-29 10:23:16,1380,0.133156,0.180429
2019-08-29 10:23:24,1390,0.168454,0.158804
2019-08-29 10:23:31,1400,0.149162,0.191973
2019-08-29 10:23:39,1410,0.195205,0.189647
