sep=,
time,epoch,test_loss,train_loss
2019-09-02 13:53:16,0,15.0951,15.0951
2019-09-02 13:53:31,10,12.0887,12.0887
2019-09-02 13:53:46,20,11.5603,11.5603
2019-09-02 13:54:01,30,10.7701,10.7701
2019-09-02 13:54:16,40,9.90215,9.90215
2019-09-02 13:54:31,50,9.47211,9.47211
2019-09-02 13:54:46,60,9.1559,9.1559
2019-09-02 13:55:01,70,8.88824,8.88824
2019-09-02 13:55:16,80,8.57982,8.57982
2019-09-02 13:55:31,90,8.16562,8.16562
2019-09-02 13:55:46,100,7.78247,7.78247
2019-09-02 13:56:00,110,7.4572,7.4572
2019-09-02 13:56:15,120,7.17303,7.17303
2019-09-02 13:56:30,130,6.91372,6.91372
2019-09-02 13:56:44,140,6.66484,6.66484
2019-09-02 13:56:59,150,6.41506,6.41506
2019-09-02 13:57:14,160,6.16026,6.16026
2019-09-02 13:57:29,170,5.90522,5.90522
2019-09-02 13:57:43,180,5.6586,5.6586
2019-09-02 13:57:58,190,5.42621,5.42621
