sep=,
time,epoch,loss
2019-07-17 14:01:56,0,0.674405
2019-07-17 14:01:56,10,0.120306
2019-07-17 14:01:57,20,0.0531486
2019-07-17 14:01:57,30,0.0269739
2019-07-17 14:01:57,40,0.0169378
2019-07-17 14:01:57,50,0.0139396
2019-07-17 14:01:57,60,0.0120952
2019-07-17 14:01:57,70,0.0101602
2019-07-17 14:01:57,80,0.00754836
2019-07-17 14:01:57,90,0.00474728
2019-07-17 14:01:57,100,0.00288502
2019-07-17 14:01:57,110,0.00197213
2019-07-17 14:01:57,120,0.00150266
2019-07-17 14:01:57,130,0.0012302
2019-07-17 14:01:58,140,0.00104812
2019-07-17 14:01:58,150,0.000915952
2019-07-17 14:01:58,160,0.000806415
2019-07-17 14:01:58,170,0.000718633
2019-07-17 14:01:58,180,0.000648562
2019-07-17 14:01:58,190,0.000592124
2019-07-17 14:01:58,200,0.000543837
2019-07-17 14:01:58,210,0.000501993
2019-07-17 14:01:58,220,0.000465579
2019-07-17 14:01:58,230,0.000433464
2019-07-17 14:01:58,240,0.000404974
2019-07-17 14:01:59,250,0.000379518
2019-07-17 14:01:59,260,0.00035665
2019-07-17 14:01:59,270,0.000336003
2019-07-17 14:01:59,280,0.000317279
2019-07-17 14:01:59,290,0.000300227
2019-07-17 14:01:59,300,0.00028464
2019-07-17 14:01:59,310,0.000270349
2019-07-17 14:01:59,320,0.000257202
2019-07-17 14:01:59,330,0.000245076
2019-07-17 14:01:59,340,0.000233859
2019-07-17 14:01:59,350,0.000223458
2019-07-17 14:01:59,360,0.000213791
2019-07-17 14:02:00,370,0.000204788
2019-07-17 14:02:00,380,0.000196386
2019-07-17 14:02:00,390,0.000188531
2019-07-17 14:02:00,400,0.000181169
2019-07-17 14:02:00,410,0.000174263
2019-07-17 14:02:00,420,0.000167774
2019-07-17 14:02:00,430,0.000161666
2019-07-17 14:02:00,440,0.000155907
2019-07-17 14:02:00,450,0.00015047
2019-07-17 14:02:00,460,0.000145335
2019-07-17 14:02:00,470,0.000140473
2019-07-17 14:02:00,480,0.000135866
2019-07-17 14:02:01,490,0.000131498
