sep=,
time,epoch,loss
2019-07-17 13:58:00,0,0.713836
2019-07-17 13:58:00,10,0.233552
2019-07-17 13:58:00,20,0.146252
2019-07-17 13:58:00,30,0.118564
2019-07-17 13:58:00,40,0.100514
2019-07-17 13:58:00,50,0.0907931
2019-07-17 13:58:00,60,0.0884477
2019-07-17 13:58:00,70,0.0875444
2019-07-17 13:58:00,80,0.0870243
2019-07-17 13:58:00,90,0.0867
2019-07-17 13:58:01,100,0.0864687
2019-07-17 13:58:01,110,0.0862997
2019-07-17 13:58:01,120,0.0861681
2019-07-17 13:58:01,130,0.0860586
2019-07-17 13:58:01,140,0.0859661
2019-07-17 13:58:01,150,0.0858857
2019-07-17 13:58:01,160,0.0858146
2019-07-17 13:58:01,170,0.0857506
2019-07-17 13:58:01,180,0.085692
2019-07-17 13:58:01,190,0.0856375
2019-07-17 13:58:01,200,0.085586
2019-07-17 13:58:02,210,0.0855367
2019-07-17 13:58:02,220,0.0854891
2019-07-17 13:58:02,230,0.0854429
2019-07-17 13:58:02,240,0.0853978
2019-07-17 13:58:02,250,0.0853537
2019-07-17 13:58:02,260,0.0853108
2019-07-17 13:58:02,270,0.0852691
2019-07-17 13:58:02,280,0.0852285
2019-07-17 13:58:02,290,0.0851892
2019-07-17 13:58:02,300,0.0851511
2019-07-17 13:58:02,310,0.0851141
2019-07-17 13:58:03,320,0.0850782
2019-07-17 13:58:03,330,0.0850434
2019-07-17 13:58:03,340,0.0850095
2019-07-17 13:58:03,350,0.0849766
2019-07-17 13:58:03,360,0.0849446
2019-07-17 13:58:03,370,0.0849135
2019-07-17 13:58:03,380,0.0848832
2019-07-17 13:58:03,390,0.0848537
2019-07-17 13:58:03,400,0.084825
2019-07-17 13:58:03,410,0.0847971
2019-07-17 13:58:03,420,0.0847698
2019-07-17 13:58:04,430,0.0847431
2019-07-17 13:58:04,440,0.0847172
2019-07-17 13:58:04,450,0.0846918
2019-07-17 13:58:04,460,0.0846671
2019-07-17 13:58:04,470,0.0846428
2019-07-17 13:58:04,480,0.0846192
2019-07-17 13:58:04,490,0.084596
