TP;TN;FN;FP;
1689;49;131;45833;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
473;1265;14102;31862;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
43;1695;439;45525;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
1700;38;183;45781;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
1698;40;276;45688;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
1693;45;150;45814;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
1696;42;168;45796;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
1677;61;122;45842;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
1686;52;140;45824;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
1692;46;99;45865;data\trainings_results\models\R3b_evaluate_fux_rules_from_two_sides_rule_targets\R3b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
