TP;TN;FN;FP;
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
80;0;47622;0;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_4.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_5.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_6.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_7.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_8.pt
0;80;0;47622;data\trainings_results\models\R3c_evaluate_fux_rules_from_two_sides_rule_targets\R3c_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_9.pt
