TP;TN;FN;FP;
323;144;227;47008;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
0;467;0;47235;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
4;463;14;47221;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
275;192;530;46705;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
296;171;598;46637;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
307;160;388;46847;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
293;174;426;46809;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
274;193;361;46874;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
267;200;390;46845;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
297;170;337;46898;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
317;150;346;46889;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
329;138;462;46773;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
282;185;366;46869;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
39;428;200;47035;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
293;174;355;46880;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
272;195;285;46950;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
278;189;315;46920;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
301;166;375;46860;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
326;141;403;46832;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
301;166;169;47066;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
301;166;339;46896;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
322;145;302;46933;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
320;147;314;46921;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
335;132;369;46866;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
279;188;978;46257;data\trainings_results\models\R3d_evaluate_fux_rules_from_two_sides_rule_targets\R3d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
