TP;TN;FN;FP;
0;689;0;47013;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;689;0;47013;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;689;2;47011;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1;688;4;47009;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;689;0;47013;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;667;86;46927;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
37;652;147;46866;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
12;677;38;46975;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
6;683;22;46991;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
10;679;68;46945;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
7;682;19;46994;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
9;680;43;46970;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
30;659;195;46818;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
21;668;108;46905;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
38;651;162;46851;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
40;649;177;46836;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
31;658;155;46858;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
24;665;116;46897;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
32;657;160;46853;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
44;645;225;46788;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
30;659;125;46888;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
31;658;171;46842;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
31;658;153;46860;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
43;646;211;46802;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
30;659;164;46849;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
53;636;254;46759;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
54;635;263;46750;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
44;645;225;46788;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\027_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
64;625;301;46712;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\028_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
69;620;307;46706;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\029_epoch_R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
71;618;310;46703;data\trainings_results\models\R4_evaluate_fux_rules_from_two_sides_rule_targets\R4_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
