TP;TN;FN;FP;
0;290;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;290;2;47410;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
129;161;127;47285;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
213;77;7;47405;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
216;74;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
218;72;35;47377;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
221;69;6;47406;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
222;68;5;47407;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
225;65;1;47411;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
235;55;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
243;47;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
248;42;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
259;31;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
268;22;0;47412;data\trainings_results\models\R6a_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R6a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
