TP;FP;FN;FP;
675;57;113;46857;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
732;0;46970;0;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
480;252;3105;43865;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
694;38;2826;44144;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
674;58;2349;44621;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
670;62;1051;45919;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
685;47;1023;45947;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
688;44;803;46167;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
668;64;643;46327;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
686;46;813;46157;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
672;60;421;46549;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
662;70;347;46623;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
677;55;191;46779;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
544;188;3415;43555;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
664;68;172;46798;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
666;66;124;46846;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
675;57;190;46780;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
679;53;136;46834;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
683;49;136;46834;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
688;44;132;46838;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
683;49;130;46840;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
682;50;81;46889;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
694;38;164;46806;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
690;42;145;46825;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
732;0;3265;43705;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
726;6;3236;43734;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_4.pt
732;0;3266;43704;data\trainings_results\models\R1a_evaluate_fux_rules_from_two_sides_rule_targets\R1a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_5.pt
