TP;FP;FN;FP;
221;0;650;46831;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
221;0;47481;0;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
109;112;762;46719;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
221;0;650;46831;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
189;32;544;46937;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
221;0;649;46832;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
221;0;650;46831;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
221;0;650;46831;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
221;0;650;46831;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_4.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_5.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_6.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_7.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_8.pt
221;0;651;46830;data\trainings_results\models\R1b_evaluate_fux_rules_from_two_sides_rule_targets\R1b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_9.pt
