TP;TN;FN;FP;
4714;179;9;42800;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100.pt
4893;0;42809;0;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_0.pt
0;4893;0;42809;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_1.pt
4493;400;13;42796;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_10.pt
4599;294;18;42791;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_11.pt
4461;432;4;42805;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_12.pt
4738;155;18;42791;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_13.pt
4335;558;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_14.pt
4827;66;20;42789;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_15.pt
4703;190;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_16.pt
4756;137;11;42798;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_17.pt
4785;108;10;42799;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_18.pt
4523;370;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_19.pt
2303;2590;477;42332;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_2.pt
4732;161;15;42794;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_20.pt
4852;41;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_21.pt
4692;201;14;42795;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_22.pt
4843;50;10;42799;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_23.pt
4829;64;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_24.pt
4720;173;1;42808;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_25.pt
4817;76;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_26.pt
4813;80;6;42803;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_27.pt
4844;49;5;42804;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_28.pt
4690;203;4;42805;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_29.pt
4009;884;61;42748;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_3.pt
4282;611;28;42781;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_4.pt
4276;617;19;42790;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_5.pt
4323;570;5;42804;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_6.pt
4341;552;16;42793;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_7.pt
4407;486;31;42778;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_8.pt
4507;386;14;42795;data\trainings_results\models\R3a_evaluate_fux_rules_from_two_sides_rule_targets\R3a_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0,000100_epoch_9.pt
