TP;TN;FN;FP;
0;234;406;47062;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;234;0;47468;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;234;0;47468;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1;233;1;47467;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
5;229;29;47439;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
5;229;29;47439;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
6;228;31;47437;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
8;226;45;47423;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
8;226;43;47425;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
5;229;33;47435;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
7;227;54;47414;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
6;228;55;47413;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
11;223;151;47317;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
15;219;197;47271;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
19;215;233;47235;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
24;210;263;47205;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
25;209;247;47221;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;212;240;47228;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
19;215;239;47229;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
21;213;235;47233;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;212;199;47269;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
24;210;262;47206;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;212;229;47239;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
24;210;245;47223;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;212;231;47237;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
23;211;235;47233;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
20;214;224;47244;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
24;210;237;47231;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\027_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
19;215;186;47282;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\028_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;212;195;47273;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\029_epoch_R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
22;212;251;47217;data\trainings_results\models\R4b_evaluate_fux_rules_from_two_sides_rule_targets\R4b_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
