TP;TN;FN;FP;
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
0;1088;0;46614;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
6;1082;3;46611;data\trainings_results\models\R5_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R5_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
