TP;TN;FN;FP;
1457;0;46245;0;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\000_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1246;211;323;45922;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\001_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1330;127;391;45854;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\002_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1346;111;127;46118;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\003_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1348;109;110;46135;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\004_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1370;87;77;46168;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\005_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1370;87;66;46179;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\006_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1395;62;201;46044;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\007_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1390;67;59;46186;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\008_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1384;73;53;46192;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\009_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1398;59;52;46193;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\010_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1394;63;19;46226;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\011_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1401;56;53;46192;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\012_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1389;68;49;46196;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\013_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1410;47;53;46192;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\014_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1403;54;47;46198;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\015_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1406;51;14;46231;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\016_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1415;42;46;46199;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\017_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1405;52;17;46228;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\018_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1414;43;28;46217;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\019_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1401;56;41;46204;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\020_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1404;53;11;46234;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\021_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1415;42;12;46233;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\022_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1417;40;47;46198;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\023_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1424;33;46;46199;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\024_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1420;37;48;46197;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\025_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1423;34;47;46198;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\026_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1402;55;10;46235;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\027_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1428;29;7;46238;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\028_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1420;37;45;46200;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\029_epoch_R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
1419;38;17;46228;data\trainings_results\models\R6d_evaluate_fux_rules_from_two_sides_rule_targets\R6d_evaluate_fux_rules_from_two_sides_rule_targets_hlc2_hls312_opti_ADAM_lossf_BCEL_lr_0_000100.pt
